Indo-European Lexicon
Pokorny Master PIE Etyma
The table below lists Proto-Indo-European (PIE) etyma adapted from Julius Pokorny's book, Indogermanisches etymologisches Wörterbuch (Bern: Francke, 1959, 1989). Entry head-words are listed, with their page numbers and cross-references to other entries (following Pokorny) plus our own English glosses; for more information, the reader is referred to the book. Some misprints in Pokorny have been corrected, including repairs to diacritics and missing, incorrect, or extraneous homograph numbers.

In our table, cross-references under "See also" may include IE links to our own lists of more modern Indo-European reflexes -- words derived from the ancient Proto-Indo-European etyma. IE reflex lists are under active construction (see our IE Lexicon home page): they are subject to change at any time, and might possibly exhibit errors not yet corrected. See our Language Index page for links from reflexes (listed by IE language) to their PIE etyma.

Pokorny head-word entries with page numbers, cross-references, and English glosses
Page(s)	Pokorny entry	See also	English gloss
298-99	ēik-	IE   	to own, possess, be capable
299-301	1 eis-	IE   	to move rapidly/violently
301	2 ei-s-, ei-n-	IE   	ice, frost
301-2	ek̑u̯o-s	IE   	horse
302-4	1 el-, ol-, el-	IE    4. el-	red, brown
304-5	2 el-	2. lei-	to lie, recline
305	3 el- : ol-		to rot, be moldy
306	4 el-, ol-	IE    ul-	(a noise)
306	5 el-, ol-	IE   	to destroy
306-7	6 el-, elə- : lā-, el-eu-(dh-)	IE    2. leu-dh-	to go, move, drive
307	7 el-, elə-, with k-suffix elk-, elək-	IE    elk-	hungry; bad?
307-9	8 el-, elē̆i-, lē̆i-, olī̆nā	IE    1. lē̆i-	to bend; elbow
309-10	ēl-	IE   	line, strip
310	ēlā	IE   	awl, bodkin
310	elg-		poor, needy
310	elk-, elək-	7. el-	hungry; bad?
310	elkos-	IE   	boil, abscess
310-11	em-	IE   	to take
311	embhi-, empi-		bee, gnat, mosquito
311-14	1 en	IE    3. nei-	in
314	2 en-	IE   	year
314	ēn		behold! look here!
314-15	1 enebh-, embh-, ombh-, nō̆bh-, nēbh-?, m̥bh-	IE   	navel
315-16	2 enebh- : nebh-, embh-, m̥bh-	IE    2. nebh-	wet, damp; cloud, nimbus; water
316-18	enek̑-, nek̑-, enk̑-, n̥k̑-	IE   	to reach, obtain
318	ē̆neu, ē̆nu	IE   	without
318-19	e-neu̯en, neu̯n̥, enu̯n̥	IE    neu̯os	nine
319	engu̯-, n̥gu̯ḗn	IE   	bump, swelling
319-21	eno-, possibly e-no- : ono- : no- : -ne-	IE    2. ne	that
321	en(o)mn̥-, (o)nomn̥, nōmn̥	IE    nōmn̥	name
321-22	enos-, or onos-	IE   	onus, burden
322	enq-, onq-		to sigh, groan
322	ent-, better ant-?		to weave
323	epero-		wild boar
323-25	epi, opi, pi	IE    obhi-	at, near, epi-
325	ēpi-		comrade, companion
325	epop, opop		(onomatopoeic: call of hoopoe bird)
325	eph-		to cook
325-26	1 er-, or-	IE   	erne, eagle
326	2 er-, eri-		goat, sheep
326-32	3 er- : or- : r-	IE    2. ereu-	to move, set in motion
332	4 er-, er-t-, er-u̯-	IE   	earth
332-33	5 er-, erə-, thematic (e)r-ĕ-	IE    2. rē̆-	loose, crumbly
333	ereb-, orob-, rōb-		to drill, make holes, hollow out
334	ē̆reb(h)-, ō̆rob(h)-	IE    regu̯os-	(dark color, reddish brown)
334	ered-	red-	to flow away; dampness
335	eregu̯(h)o-, erogu̯(h)o-	IE   	pea, legume
335	1 erek-, er[e]gh-		tick, mite, louse
335	2 er(e)k-, rek-, rok-		to tear, cut, split
335	1 eres-		to stab, pierce
336-37	2 ere-s-, ers-, r̥s-, eres-, and rē̆s-, rō̆s-	IE    rēs-	to flow
337	1 ereu-	IE    4. reu-	to ask, seek
338	2 ereu-	ers-	to tear, rip up
338	1 erə-, rē-, er(e)-	IE    3. rē-	to row; oar
338-39	2 erə-, rē-	IE    4. rē-	to rest, be still
339	er(ə)d-, (er(ə)d-), er(ə)dh-	IE   	high; to grow
339	ergh-	IE   	to shake, tremble
340	erku̯-	ar(e)-g̑-	to beam, shine; to praise
340	ers- : orsos	IE    1. rebh-	tail; arse, rump, backside
340-42	es-	IE   	is, to be
342	esu-s : su-	IE   	good, able
342-43	ē̆s-	IE    niz-do-	to sit
343	es-en-, os-en-	IE   	summer, harvest time
343	ē̆s-r̥(gu̯), genitive es-n-és	IE   	blood
343	et(e)n-		seed, grain
344	ēter-	IE   	intestines
344	eti	IE   	out, beyond, etc.
345	ētī-	IE    anət-	eider (duck)
345	ēt-mén-	IE   	breath
345	ētro-	IE    āt(e)r-	quick, swift, hurried
345-46	1 eu-, euə- : u̯ā-, u̯ə-	IE    u̯āsto-s	to lack, want; empty, vacant
346	2 eu-	IE   	to dress, put on
346	3 eu-		to feel
347	4 eu-		(exclamation of joy)
347	ēudh-, ōudh-, ūdh-	IE   	udder
347	euk-	IE   	to accustom oneself, be used to
347-48	eus-	IE    9. u̯es-	to burn
348	eu̯egu̯h-	IE   	to praise, worship, avow, speak formally
349	g̑ā̆b-		to show, watch out for
349	gag-, gōg-	IE   	something round/lumpy
349-50	1 gal-	IE   	bald, callow, naked
350-51	2 gal-	IE    ghel-	to call, cry
351	3 gal-, or ghal-	IE   	to be able
351	gan(dh)-		vessel
352	gang-	IE   	to mock, scorn
352	g̑ā̆r-	IE    2. ger-	to call, cry
353	garəg̑-		grim, grievous, dreadful
353	gāu-	IE   	to rejoice, be glad
353	g̑ebh-	g̑egh-	bough, branch, stick
354	g̑egh-, g̑ogh-	g̑ebh-	branch, bush; picket
354-55	gei-	IE    *dəg̑h-mó-	to bend, turn
355	gē(i)- : gō(i)- : gī-		to cry, sing
355-56	g̑ēi-, g̑ī-	IE   	to sprout
356	geid-	IE   	to stab; kittle, tickle
356	g̑eid-		to suck
356	geig̑-		to bite, prick, stab
356	g̑eis-		gravel
357-64	1 gel-	IE   	to curl, form into ball; round
365	2 gel-, and gu̯el-	IE   	to glut, devour, envelop
365-66	3 gel(ə)-	IE   	cool, cold; to keel, freeze
366-67	g̑el-, g̑elə-, g̑lē-, also *gelēi- : g̑(e)ləi-	IE   	bright; to shine, be joyful
367	gelebh-	IE    gleubh-	to flay, scrape
367	geli-, glī-		mouse
367-68	g̑(e)lōu̯-	IE   	sister-in-law
368-69	gem-	IE   	to grasp, grip; be full
369	g̑embh-, g̑m̥bh-, g̑ombhos	IE    g̑ep(h)-	to bite; tooth
369-70	g̑em(e)-	IE   	to marry
370-73	gen-	IE    1. ken-	to pinch, press together, etc.
373-75	1 g̑en-, g̑enə-, g̑nē-, g̑nō-	IE   	to bear, produce, generate
376-78	2 g̑en-, g̑enə-, g̑nē-, g̑nō-	IE   	to ken, know, recognize
378-79	genebh-, genobh-	IE   	pin, wooden plug
379-80	geng-, gong-		lump
380	gengh-		to turn, weave
380-81	1 g̑enu-, g̑neu-	IE   	knee, joint
381-82	2 g̑enu-, fem., g̑enədh- : g̑onədh-	IE   	chin, jaw(bone)
382	g̑ep(h)-, g̑ebh-	IE    g̑embh-	jaw, jowl, mouth; to eat
382-83	1 ger-, gere-	IE   	to cram, collect, put together
383-85	2 ger-	IE    4. gu̯er(ə)-	(onomatopoeic: to crow, shriek, etc.)
385-90	3 ger-	IE   	to turn, wind, curl
390	4 ger-, grēi-		to grow, awaken
390-91	g̑er-, g̑erə-, g̑rē-	IE   	to rub; rotten; to age, ripen; grain
392	gerebh-	IE    grēb(h)o-s	to carve, scratch; write
392-93	g̑ers-	IE   	to bend, turn
393-98	gēu-, gəu-, gū-	IE    gou̯ə-	to bend, curl; cup, vessel
399	g̑eu-, g̑eu̯ə-, also geu̯ə-	IE   	to hurry, promote
399	g(e)u-lo-	IE   	glowing coal
399-400	g̑eus-	IE   	to taste, degust, enjoy
400	g(i̯)eu-, g̑(i̯)eu-	IE   	to chew
400-1	glag-, or glak-	IE   	milk
401	gleg̑-		soft, tender
401	g̑lei-		to attack, run at
401-2	gleubh-	IE    gelebh-	to cut, cleave, pare, slice
402	glōgh- : gləgh-	IE   	barb, spike
402	1 gol-, lengthened grade gōl-, reduced grade gol-		to camp, lie down; den (of animals)
403	2 gol-		bough, branch, twig
403	gō̆u-, gou̯ə-, gū-		to call, cry
403-4	gou̯ə-, or gau̯ə-? : gū-	IE    gēu-	hand; to grab
404	gras- : grō̆s-	IE   	to gnaw, eat, devour
404	grēb(h)o-s : grōb(h)o-s	gred-	beech or hornbeam (tree)
405	gred- : grod-	IE    gerebh-	to grate, scratch
405	grem-	IE   	to be damp; to sink
405-6	1 greus-		to crush, crumble, crackle
406	2 greus-		to burn, smolder
406	greut-	IE   	to crush, press; curd
406	grōd-, grəd-	2. gher-	hail?
406	gru-	IE   	to grunt (of pigs)
407	gha gha, ghe ghe, ghi ghi	IE    g̑han-	to cackle, gaggle (of geese)
407-9	ghabh-	IE   	to take, grab, seize
409	ghabh(o)lo-, masc., ghabh(o)lā fem.	IE   	branch, fork
409	g̑hāgu̯h-		young bird/animal
409-10	ghaido-, or g̑haido-	IE   	goat, kid
410	ghais-	IE   	to stick, be fixed to
410	g̑haiso-, or g̑həiso- : g̑hēiso-	IE   	dart; staff, stick
410	ghait-ā		curly/wavy hair
411	g̑hal-, g̑hal-ar-		flaw, defect; harm
411	g̑halg(h)-	IE   	flexible twig
411	g̑han-	g̑han-s-	to yawn
412	g̑han-s-	IE    1. g̑hē-	goose
412-13	1 g̑hasto-, g̑hazdho-	IE   	pole, rod, gad; twig
413	2 g̑hasto-		arm, hand
413-14	g̑hau-, g̑hau̯ə-	IE   	to call
414	ghau̯o-		false
414-16	g̑hðem-, g̑hðom-, genitive-ablative g̑h(ð)m-és	IE   	earth, ground, soil, humus
416	g̑hði̯és, zero-grade g̑hðis, simplified to g̑hðés, g̑hi̯és, g̑hés	IE   	yesterday
416-17	g̑hðū-, or g̑hi̯ū-?	IE   	fish, ichthyoid
417-18	ghe-, gho-	IE    g̑hō	(enclitic (emphatic?) particle)
418-19	1 g̑hē-, g̑hēi-	IE    2. g̑hē-	to lack, be empty; leave, go out
419-22	2 g̑hē- : ghə-, and g̑hēi- : g̑hī-	IE    gha gha	to gape, yawn
423	ghebh-el-, ghebh-el-, ghebh-elo-	IE   	gable, head
423	ghed-	IE   	to defecate; hole, opening
423-24	ghedh-, ghodh-	IE   	to join, unite, gather, make a bond
424	ghegh-		to bend, curve
424	g̑(h)eg̑h-		ferret (or similar carnivorous mammal)
424-25	1 g̑hei-, g̑hēi-	IE    g̑hēu-	to goad, drive; to throw, wound
425-26	2 g̑hei- : g̑hi-	IE   	snow; winter
426-27	gheidh-	IE    gheig̑h-	to desire, yearn for
427	gheig̑h-	IE    gheidh-	to desire, yearn for
427	gheis-, and g̑heiz-d-	IE   	shocked, aghast, confused
428	ghel-	IE    6. kel-	to yell, call, cry
429-34	1 g̑hel-, and ghel-?, also as i-, u-, or n-stem; g̑helə-, g̑hlē-, g̑hlō-, g̑hlə-	IE    ghlādh-	to shine, glare, glow; gold, yellow, bright color
434	2 g̑hel-	IE   	to cut?
434	g̑hēlā		wine?
434	gheldh-		to desire, wish for
435	ghel(ē̆)g̑h-	IE   	(type of metal)
435	gheləd-	IE   	hail, ice
435	ghelg̑h-		gland
435	ghel-ond-, ghol-n̥d-		stomach, intestines
435	ghel-ōu-, ghelū-	IE   	turtle, tortoise
436	ghel-tō, Germanic and ghel-dhō Slavic	IE   	to cost, pay, be worth
436	ghelunā	IE   	jaw, gill
436-37	ghen-	IE   	to grind, crack open, gnaw to pieces
437-38	ghend-, and ghed-	IE   	to get, grasp, seize
438	ghendh-, ghondh-	IE   	boil, abscess
438-39	g̑hengh-	IE   	to step, stride, march
439	1 gher-	IE    g̑hlād-	(onomatopoeic: to snarl, rattle, etc.)
439-40	2 gher-	ghrēi-	to rub, stroke hard
440	3 gher-, ghrē- : ghrō- : ghrə-	IE    7. g̑her-	to come out, jut out
440-41	1 g̑her-	IE   	to desire, yearn for
441	2 g̑her-	IE    g̑herzd(h)	to gash, slit, scrape, scratch
441-42	3 g̑her-, and g̑herə-, g̑hrē-	IE   	to beam, shine, shimmer
442-43	4 g̑her-	IE    g̑herdh-	to grab, grip, seize
443	5 g̑her-, g̑hor-nā	IE   	bowels
443	6 g̑her-, g̑herə- : g̑hrē-?	IE   	short, small
443	7 g̑her-	g̑hers-	to stiffen, stand out
444	g̑herdh-, and gherdh-	IE    g̑hesto-	to gird, enclose, encompass
445	1 ghers-, ghres-		horror, disgust, revulsion
445	2 ghers-		(type of weed, e.g. goat's foot)
445-46	g̑hers-	IE    ghrē-	to stiffen, bristle, stand out
446	gherto-		milk, butter
446	g̑herzd(h), genitive g̑hr̥zd(h)-es, g̑herzdā	IE    2. g̑her-	barley, prickly grain
446	g̑héslo-	IE   	thousand, chiliad
447	g̑hesor-, g̑hesr-	IE   	hand
447	g̑hesto-	IE    4. g̑her-	arm, hand
447-48	1 g̑heu-	IE   	to gush, pour, found
448	2 g̑heu-, g̑heu-d-	IE   	to die, disappear, get away
449	g̑hēu- : g̑hō(u)- : g̑həu-	IE    1. g̑hei-	to gape, yawn
450	gheub(h)-		to bend, move
450	gheug̑h-, ghū̆g̑h-		to conceal, do secretly
451	gheu̯ei̯ā, g̑heu̯ei̯ā		pit, hollow
451	ghlādh-	1. g̑hel-	bright, brilliant
451	g̑hlād-	1. gher-	to call, sound
451	ghleu-	IE   	to be happy, joyful, gleeful
451-52	g̑hō	IE    ū̆d-	behind; towards
452	ghoilo-s	IE   	foaming, turbulent, frothing up
452	ghom-		stall
452	ghō̆s-		to eat
453	ghosti-s	IE   	guest, stranger
453	ghou̯(ē)-	IE   	to gawk, be aware of, pay attention to
453-54	ghou-ro-s	IE   	frightened, frightening
454	ghous-		to sound, hear
454	ghrē- : ghrō- : ghrə-	IE    3. gher-	to grow, become green
455	1 ghrebh-, gherbh-, root extension ghrebhā-	IE    2. ghrebh-	to grab, grasp
455-56	2 ghrebh-	IE    ghreib-	to dig, grub, grave, scratch
456-57	ghredh-	IE   	to stride, march
457	ghrēi- : ghrəi- : ghrī-, and lit. ghrei-	IE    1. ghrem-	to smear over
457-58	ghreib-	IE    1. ghrebh-	to grip, grab
458	1 ghrem-	IE    ghren-	to rub, scratch
458-59	2 ghrem-	IE   	to grumble; resound, thunder
459	ghren-	IE    2. ghrēu-	to grind, rub, stroke hard
459-60	ghrendh-		beam
460	1 ghrēu- : ghrəu- : ghrū-	IE   	to collapse, fall down
460-62	2 ghrēu- : ghrəu- : ghrū-	IE    grōd-	to crush, rub sharply
462	ghroud-		(round body part, e.g. cheek, bosom)
463-65	gu̯ā-, gu̯em-	IE    gu̯em-	to come, go
465	gu̯ā̆dh-	IE   	to dive, sink, submerge
465-66	1 gu̯ēbh-, or gu̯ābh-?, gu̯əbh-	IE   	to plunge, dive in
466	2 gu̯ēb(h)-	IE   	slimy; frog
466-67	gu̯edh-	IE   	to hit, push; harm, injure
467	1 gu̯ei-	IE   	to cry, weep, complain
467	2 gu̯ei-		to enclose, push together
467-69	3 gu̯ei̯-, and gu̯ei̯ə-	IE   	to live, survive
469	gu̯ēi-, or gu̯ei̯ə- : gu̯ī-		hide, skin
469	gu̯eid(h)-	IE   	mud
469-70	gu̯ei̯ə-	IE   	to prevail, overpower, be mighty
470-71	1 gu̯el-	IE   	to stab; pain, death, quell
471-72	2 gu̯el-, gu̯elə-, gu̯lē-	IE   	to flow, drip down; throw
472-73	3 gu̯el-, gu̯el-, gu̯lā-	IE   	acorn, valonia; oak?
473	gu̯elbh-	IE   	womb, uterus; young animal
473	gu̯em-	gu̯ā-	to go, come
473-74	gu̯ē̆nā	IE   	wife, queen, woman
474-76	1 gu̯er-, gu̯erə-	IE   	to swallow; craw, gorge, throat
476-77	2 gu̯er-, gu̯erə-, gu̯erəu-, gu̯erī-	IE   	grave, heavy
477-78	3 gu̯er-, gu̯or-	IE    gu̯retso-	mountain
478	4 gu̯er(ə)-	IE    g̑ā̆r-	to praise, congratulate, raise one's voice
479	g̑u̯er-, g̑u̯erə-	IE   	to burn, be hot
479	gu̯eru-		pole, spit
479-80	gu̯es-, zgu̯es-	IE   	to quench, extinguish
480	gu̯es-, gȗos-, gus-, extended gu̯oz-do-		leaves, branches
480	1 gu̯et-	IE   	resin
480-81	2 gu̯et-	IE   	to speak, talk
481	gu̯et-	IE   	swelling
481	gu̯ii̯ā, gu̯ii̯ós		sinew
481	gu̯is-ti-s	du̯ō(u)	finger
482	gu̯īu̯-		resin
482	gu̯l̥tur(os)		vulture
482	gu̯or-gu̯(or)o-		dirt, dung
482-83	gu̯ou-	IE   	cow, ox, gaur
483-85	gu̯ōu-, gu̯ū-	IE   	dirt, dung
485	gu̯ozd(h)o-, gu̯ozd(h)i-		nail, penis
485	gu̯rebh-	IE   	young, embryo
485	gu̯reig̑-		to sleep, dream
485	gu̯rendh-	IE   	to swell; breast
485	gu̯retso-	IE    3. gu̯er-	big, thick, gross
485-86	gu̯rēug̑h-, gu̯rū̆g̑h-		to bite, grind one's teeth
487	gu̯hðei(ə)-	IE    ku̯þei-	to destroy, perish
487-88	gu̯hðer-	IE   	to flow, run
488	gu̯hedh-	IE   	to ask, beg, wish for
488-89	*gu̯hēi- : gu̯həi-, gu̯həi-d- : gu̯hīd-	IE   	bright, shining
489	gu̯heiə- : gu̯hī-	IE   	vein, sinew, tendon
489	gu̯hel-	IE   	to want, wish
489-90	g̑hu̯el-	IE   	to bend, swerve
490	g̑hu̯elg-		to glance, look at
490	gu̯hemb-		to hop, spring (happily)
490-91	g̑hu̯en-		to sound
491	1 gu̯hen-	IE   	to swell, abound
491-93	2 gu̯hen(-ə)-	IE   	to hit, strike, fend
493	g̑hu̯ē̆r-	IE   	wild animal
493-95	gu̯her-	IE   	warm, hot
495	g̑hu̯oigu̯-	IE   	to shine; star
495	g̑hu̯ōku̯-, g̑hu̯əku̯-		to shine, shimmer
495	gu̯hrē-	IE   	to scent, smell
496	gu̯hren-	IE   	diaphragm; mind, soul
497	hā̆	IE   	(surprise: ha! oh!)
497	ha ha!	IE   	(laughter)
499	īl-, īlu-		dirt, mud; black
499	īli-	IE   	groin, intestines
501	i̯ā- : i̯ō-	IE   	to punish, be angry, excited
501	i̯ā-	i̯ē-ro-	to go
501-2	i̯ag-	IE   	to worship, venerate
502	i̯agh-		to hunt, wish for
502	i̯āi	i̯ām	(demonstrative stem: one, this, etc.)
502	i̯ā̆m-, or i̯em- : i̯em- : i̯ōm-		to dig
502	i̯ām	i̯o-	(demonstrative stem: one, this, etc.)
502	i̯ē- : i̯ə-	IE   	to do, throw, project
503	i̯ebh-	eibh-	to copulate
503	i̯eg-	IE   	ice, icicle
503	i̯ēgu̯ā	IE   	force, strength
503-4	i̯ek-	IE    i̯ēk-	to speak
504	i̯ēk- : i̯ək-	IE    i̯ek-	to heal
504	i̯ē̆ku̯-r̥(t-), genitive i̯eku̯-n-és	IE   	liver
504-5	iēlo- : i̯əlo-		raw, unripe
505	i̯em-	IE   	to hold, match, defeat, geminate; twin
505-6	i̯énəter-, weak case i̯enətr-, i̯n̥̄tr-		sister-in-law
506	i̯ē-ro-	1. ei-	year, summer
506	i̯es-	IE   	to boil, foam up
506-7	i̯et-		to set out, strive for
507	1 i̯eu-	IE   	to mix, mingle (of meal preparation)
508-10	2 i̯eu-, i̯eu̯ə-, i̯eu-g-	IE    4. i̯eu-	to yoke, join, tie together
510-11	3 i̯eu-	IE   	young
511	4 i̯eu-	IE    i̯eu̯os-	to separate, hold apart
511-12	i̯eu-dh-	IE   	to fight, move swiftly
512	i̯eug̑-		to excite, arouse; unsteady
512	i̯eu-ni-, or i̯ou-ni-		the right place/way
512	i̯eu̯o-	IE   	grain, esp. barley
512	i̯eu̯os-	IE    2. i̯eu-	rule, right, justice, statute
513	i̯o-	i̯ou	(relative stem: one, this, etc.)
513	i̯oi-ni-		reed (bulrush)
513	i̯ork-		(type of deer)
513	i̯ou, i̯u	oi-	(demonstrative stem: one, this, etc.)
513	i̯ō[u]s- : i̯ūs-	IE   	belt; to gird
513-14	1 i̯u-	IE    6. u̯ē̆s-	you (plural)
514	2 i̯ū̆	IE   	yowl (exclamation of joy/wonder)
515	kā-	IE    kā̆m-	to like, wish, desire
515-16	kā̆, ke, kom	IE   	well! (particle)
516	kā̆d-	k̑ād-	to rob, harm, damage; chase
516	kadh-	IE   	to guard, cover, protect
516	1 k̑ad-	IE   	to fall
516-17	2 k̑ad-		to shine, sparkle
517	k̑ād- : k̑ədes- : k̑əd-s-	IE    kā̆d-	hate, displeasure, uneasiness
517-18	kag̑o-, masc., kag̑ā- fem.	IE   	goat
518	kagh- : kogh-	IE   	to sew, plait, etc.
518	kaghlo-	IE   	chalk, pebble
519	1 kai-, kai-u̯o-, kai-u̯elo-	IE    kai-ko-	alone
519	2 kai	IE   	and
519	3 kā̆i-, kī̆-	IE   	heat
519	4 kāi-d-, kāi-t-	kāi-t-	bright, shining
519-20	kai-ko-	IE    kai-lo-	one-eyed, cyclopean
520	kaik̑-, or koik̑-	kais-	to itch, scratch
520	kai-lo-, kai-lu-	IE    1. kai-	bright; hale, whole, healthy
520	kais-	kaik̑-	hair
521	kāi-t-	(s)kāi-	bright, shining
521	kaito-	IE   	chet, woods, forest
521	kaiu̯r̥-t, kaiu̯n̥-t	IE   	cleft, hollow, ravine
521	kakka-	IE    k̑eku̯-	to cack, defecate (nursery word)
521	kāk-		to croak; cracking sound
521-22	1 k̑ak-		to become thin
522	2 k̑ak-, k̑ek-?	IE   	to help, enable
522-23	1 k̑āk- : k̑ək-, probably k̑ā[i]k- : k̑īk-	IE    k̑ank-	to jump, spring out
523	2 k̑ā̆k-	IE    keg-	branch
523-24	1 kal-	IE    2. kel-	hard, callous; blister
524	2 kal-, kali-, kalu-	IE   	handsome, beautiful; healthy
524	3 kā̆l-, kō̆l-?	IE   	to be captured; prison
524	kalni-	IE   	narrow path/passage
524-25	kam-er-	IE    kam-p-	to bend, curve
525	kā̆m-	kā-	to like, wish, desire
525	kamb-	(s)kamb-	to bend, curve
525	kam-p-	IE    kam-er-	to bend
525-26	kan-	IE   	to sing, chant, sound
526	kand-, skand-, and Indo-Iranian (s)kend-	IE    (s)kand-	to glow, shine; bright, candent
526	k̑ank-	1. k̑āk-	to jump, spring out
526-27	kan-tho-	IE   	curve, angle, corner
527-28	kap-	IE   	to cop, grab, grasp; have?
529	kāp-, kəp-		piece of land
529	kā̆po-		thing in the water
529	kapro-	IE   	he-goat
529-30	kap-ut	IE   	head
530	kā̆pho-, or k̑ō̆pho-	IE   	hoof
530	1 kar-	koro-s	to scold, punish, revile
530-31	2 kar-, karə-	IE   	to glorify, praise aloud
531-32	3 kar-, reduplicated karkar-	IE   	hard
532	kār-		wax
532-33	kars-	IE   	to rub, scratch
533	k̑as-, k̑as-no-	IE   	gray
533	k̑ās-, k̑əs-	IE   	to teach, show the way
534	1 kat-	IE   	to link, plait, weave; chain, net
534	2 kat-	IE   	to bear young; young animal
534	k̑at-	IE   	to fight, struggle; battle
535	kau-	IE   	to humble, discourage
535	kāu-, kəu-	IE   	to hew, cut, hit
535-36	kā̆u-, kē̆u-, kū-	IE   	to howl
536-37	kā̆u(ə)lā : kūlā		boil, abscess, swelling
537	kau-l-, ku-l-	IE    2. keu-	hole, hollow; bone
537	kaus-		to draw lots
537	k̑e-	k̑o-	this
537	ked-	IE   	to smoke
537-38	keg-, keng-, and kek-, kenk-	IE    keng-	peg, handle, (grappling) hook
538-39	kēi-	IE   	to move, set in motion
539-40	1 k̑ei-	IE   	to lie, recline; camp, home
540-41	2 k̑ei-	IE    k̑ē-ro-	(dark color: brown, gray)
541-42	k̑ē(i)- : k̑ō(i)- : k̑ə(i)-	IE   	to hone, whet, sharpen
542	k̑ēi-bh-	IE    k̑ēi-gh-	fast, hasty, violent
542	keid-	IE   	to fall
542-43	k̑ēi-gh-	IE    k̑ēi-bh-	fast, hasty, violent
543	k̑eip-		to slant, slope; to wag, wave
543	k̑eipo-, k̑oipo-	IE   	peg, stake, sharp wood/stone chip/piece
543	keis-		arm; thigh, shin
543	kek̑-		weasel
543	keku-		cudgel, hammer-shaped stick
544	k̑ēko-		green grass/fodder
544	k̑eku̯-	kakka-	to defecate; dung, excrement
544	1 kel-, kelə-	IE   	to project, tower up; hill
545	2 kel-	IE    3. kel-	to stab, stick, sting
545-47	3 kel-, kelə-, klā-, extended klād-	IE    8. kel-	to hit, hew, cut down
547-48	4 kel-, and kāl-	3. ker(ə)-	light and dark spots
548	5 kel-	IE    keleu-	to drive, compel, accelerate, move quickly
548-50	6 kel-, k(e)lē-, k(e)lā-, or kl̥̄-?	IE    koli-	to call, cry
550-51	7 kel-, kol-, kol-	IE   	calix, chalice, goblet, beaker
551	8 kel-	2. sē̆k-	to cut
551	9 kel-	2. (s)kel-	to owe, be guilty
551	10 kel-	3. (s)kel-	to dry out
551	11 kel-	kolə-	to bend; crooked
551	kēl-, kōl-, kəl-	IE   	to deceive, dumbfound, enthrall
551-52	1 k̑el-	IE   	cold; warm, caloric
552	2 k̑el-	IE    k̑lei-	to bow, lean, incline
552-53	3 k̑el-	IE    k̑oləmo-s	thin shaft, stalk
553-54	4 k̑el-	IE    k̑lep-	to hide, conceal
554	k̑elb-, k̑elp-	IE   	to help
554	keleu-	IE    5. kel-	to wander; way, path
554	keləu̯o-, keleu̯o-	IE   	bald, bare
554	kelg-		to wind around; windings, intrigue
555	kelp-, kl̥p-		jug, pot, cauldron
555	1 kem-	IE   	to squeeze, hem in, press together
556	2 kem-	IE   	to hum, buzz, croon
556	1 k̑em-, or k̑am-		horn, pole, stick
556	2 k̑em-	IE    (s)k̑em-	hornless (normally horned) animal
556-57	3 k̑em-	IE   	to wrap, cover, conceal
557	4 k̑em(ə)-	IE   	to be/make tired
557-58	kemə-, komə-, kmā-	IE   	bite, piece
558	kemero-, komero-, kemero-		(plant name)
558	kemer-	IE   	armored animal (crab, turtle, etc.)
558-59	1 ken-	IE    gen-	to pinch, press, etc.
559-63	2 ken-, kenə-, keni-, kenu-	IE   	to rub, scrape, scratch off; ashes
563-64	3 ken-	IE   	to begin, be born, come forth anew; young, recent
564	4 ken-	IE   	to strain, strive eagerly
564	k̑en-		void, empty
564-65	kenəkó-	IE   	golden, honey-colored
565	keng-, kenk-	k̑enk-	peg, handle, (grappling) hook
565	1 kenk-	IE   	to bind, gird
565	2 kenk-	IE   	to burn, hurt; dry feeling: thirst, hunger
566	3 kenk-	IE   	heel, hock, back of knee
566	k̑enk-, k̑onk-	IE    2. k̑ā̆k-	to hang, sway, dangle
566	k̑ens-	IE    sengu̯h-	to announce, proclaim, speak formally
567	kenth(o)-		rag, cloth
567	k̑ent-	IE   	to stab, stick
567-71	1 ker-, kor-, kr-	IE    k̑re-	(onomatopoeic: hoarse sound)
571	2 ker-	kerəp-	to cut
571-72	3 ker(ə)-	IE    kers-	to burn
572-73	4 ker-	IE   	cherry
573	5 ker-?, kō̆r-		to hang
573-74	6 ker-, and k̑er-	k̑erbero-	dirty, dark-colored, etc.
574	7 ker-	2. (s)ker-	to jump, turn
574-77	1 k̑er-, k̑erə- : k̑rā-, k̑erei-, k̑ereu-	IE   	horn, head, upper part of body
577	2 k̑er-, k̑erə-, k̑rē-	IE   	to grow, increase
577-78	3 k̑er-		rope, string; to plait, weave
578	4 k̑er-, and k̑erə- : k̑rē-	IE    k̑rē-	to harm, injure; ruined, spoiled
578	k̑erbero-, and kerbero-	k̑ormen-	checkered, variegated
579	1 kerd-		to gird
579	2 kerd-	IE   	craft, talent; skilled
579	k̑erdho-, k̑erdhā	IE   	line, row, herd
579-80	k̑ered- : k̑erd-, k̑ērd-, k̑r̥d-, k̑red-	IE    k̑red-	heart
580-81	kerem-, krem- : krom-, and kerm-	IE    krem-	onion or garlic; ash (tree)
581	kerəp-, krēp-	2. krēp-	cloth, leather rag; shoe
581	kerk̑- : kork̑- : kr̥k̑-		to wrinkle, shrivel up
