Indo-European Lexicon
Pokorny Master PIE Etyma
The table below lists Proto-Indo-European (PIE) etyma adapted from Julius Pokorny's book, Indogermanisches etymologisches Wörterbuch (Bern: Francke, 1959, 1989). Entry head-words are listed, with their page numbers and cross-references to other entries (following Pokorny) plus our own English glosses; for more information, the reader is referred to the book. Some misprints in Pokorny have been corrected, including repairs to diacritics and missing, incorrect, or extraneous homograph numbers.

In our table, cross-references under "See also" may include IE links to our own lists of more modern Indo-European reflexes -- words derived from the ancient Proto-Indo-European etyma. IE reflex lists are under active construction (see our IE Lexicon home page): they are subject to change at any time, and might possibly exhibit errors not yet corrected. See our Language Index page for links from reflexes (listed by IE language) to their PIE etyma.

Pokorny head-word entries with page numbers, cross-references, and English glosses
Page(s)	Pokorny entry	See also	English gloss
63	ardi-, r̥di-	5. er-	tip, point, edge
64	areg-	areq-	to lock, shut away
64-65	ar(e)-g̑-, arg̑-?, r̥g̑i-	IE    erku̯-	white, argent, glittering
65-66	areq-	IE    aleq-	to lock, guard, protect
66-67	arenko-	IE    ar(ə)-	(type of grain?)
67	ario-?	IE    1. al-	host, lord, master
67-68	arqu-	IE   	arc, arch, something bent
68	arōd-, arəd-		(type of waterbird)
68	aro-m		reed?
68	aru̯ā		intestines?
68-69	ā̆s-, based on it azd-, azg(h)-	IE   	to burn, glow; ash
69	ast(h)-	ost(h)-	bone
69	at-	IE   	to go; year, annum
69	āt(e)r-	IE    ētro-	fire
70	*ati-, ateli-		(type of fish)
70-71	ati, ato-	IE    2. to-	over, beyond
71	ā̆tos, atta	IE   	daddy, mommy (nursery word)
71	1 au-	IE   	ow! (exclamation of pain)
72	2 au-, au̯-es-, au-s-	1. u̯es-	to sleep, stay overnight
72-73	3 au-, au̯e, u̯ē̆-	IE    4. u̯e-	down, away from
73-75	4 au-, u- : u̯ē̆-, u̯o-	IE    2. u-	other; that (one)
75-76	5 au̯-, au̯ē-	IE    2. u̯e-	to plait, weave
76-77	6 au̯-, au̯ed-	IE   	to speak
77-78	7 au̯-, au̯ē-, au̯ēi-	IE   	to like, help
78	8 au̯-, au̯ēi-	IE   	to perceive, understand, be aware of
78-81	9 au̯(e)-, au̯ed-, au̯er-	IE    10. u̯er-	to wet, flow, sprinkle; water, river, etc.
81-84	10 au̯(e)-, au̯ē(i)-, u̯ē-	IE    3. u̯ē-	to vent, blow
84	11 au̯ē-, (u̯e-d(h)-?)	IE   	to strain, take pains
84-85	au̯eg-, u̯ōg-, aug-, ug-	IE    u̯eg̑-	to augment, increase, magnify
86	au̯ei-, əu̯ei-?	IE    ō(u̯)i̯-om	bird, avifauna
86-87	au̯es-	IE    eus-	to shine
87	aug-	IE   	to shine, gleam, glitter
87	augh-, ugh-	u̯ing̑-	nape of the neck
88	au̯ig̑-		oats; type of grass
88	auqu̯(h)- : uqu̯(h)-, probably also u̯equ̯(h)-	IE   	cooking pot
88-89	au-lo-s : ēu-l-	IE   	tube, pipe, aulos
89	au̯o-s	IE   	maternal grandfather
90	aus-	IE   	to draw (water); scoop, ladle
91	baˣb-, bhaˣbh-, paˣp-	IE    baˣmb-	to swell
91-92	baba-	IE    bal-bal-	babble, babbling, unclear speech
92	badi̯os	IE   	bay, brown; gold, yellow
92-93	baitā, or paitā?	IE   	goatskin; cloak, mantle
93	bak-	IE   	stick, staff; to hit, peg
93	bal-, balbal-		to dance, shake, whirl
93	bal-bal-	bar-bar-	babbling, unclear speech
93-94	baˣmb-		(type of noise)
94-95	baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-	pank-	to swell
95	band-	IE   	drop (of liquid)?
95	bar-bar-	blat-	babbling, unclear speech
95	bata-		babble, murmur, meaningless stuttering
95	bau	IE   	bow-wow (onomatopoeic: dog barking)
95	bdel-		to suck
96	bē, bā		baa (onomatopoeic: sheep bleating)
96	bed-	IE   	to swell
96	1 bel-		to cut off, cut out
96	2 bel-	IE   	strong
96-97	bend-, bṇd-no-	IE   	spike, needle, tip jutting out
97-98	1 b(e)u-, bh(e)u-	IE   	(onomatopoeic: dull noise)
98-102	2 b(e)u-, bh(e)ū̆-	IE    pāuson-	to boil, swell, puff up
102	bis-(t)li-		gall
102	blat-	blē-	to chat, prattle
102	blē-	6. bhel-	to bleat
102	blou-, bhlou-?, plou-	IE   	flea
103	bol-	IE   	bulb, tuber
103	brangh-, brongh-?		hoarse?
103	breuq-		to jump
103	bronk-	IE   	to lock, shut in
103	bu-	IE   	lip; kiss, buss
104-5	1 bhā-, bhō-, bhə-	IE    2. bhāu-	to shine, glisten
105-6	2 bhā-	IE   	to speak
106	bhabhā	IE   	bean
106	bhā̆d-	IE   	good, better
107	1 bhag-	IE   	to divide, apportion
107	2 bhag-	bhorgu̯o-s	sharp
107-8	bhāgó-s	IE   	beech (tree)
108	bhā̆gh-	bhō̆gh-	bog, swamp, lowland
108	bhāg̑hú-s	IE   	elbow, forearm
108-9	bhar- : bhor- : bhr̥-	IE    bhares-	burr, stubble; something jutting out
109	bharu-	IE   	(fir) tree, forest
109-10	bhares-, bhores-	IE    bhardhā	point, bristle, stubble (with formants)
110	bhardhā	IE    bhares-	beard
110-11	bhareku̯-, or bhereku̯-	IE   	to farce, stuff full
111	bhares-	IE    bhar-	barley
111	bhasko-	IE   	heap, bundle, fascicle
111	bhāso-, or bhēso-		(large bird of prey)
111-12	bhāt- : bhət-	IE    1. bhā̆u-	to bat, hit
112	1 bhā̆u- : bhū̆-	IE    bhāt-	to hit, beat
112	2 bhāu-	1. bhā-	to shine, glisten
112-13	1 b(h)e, and b(h)eg̑h	IE   	beside, outside, without
113	2 bhē̆, bhō̆	IE   	(emphatic particle)
113	bhē-, bhō-	IE   	to warm, bake, roast, fry
113	bhebhru-, bhebhro-	5. bher-	glittering; bright brown
113-14	1 bhedh-	IE   	to dig, stab, pierce, embed
114	2 bhedh-	IE   	to flex, bend, crook
114-15	bheg-, bheng-	IE    bhog-	to bang, break, smash
115	bhēgh- : bhōgh-		to resist, dispute
116	bhegu̯-	IE   	to flee, run away
116	bhei-	IE   	bee (insect)
116-17	bheid-	IE    bhei(ə)-	to bite, prick, pierce, split
117	1 bheidh-	IE   	to force; advise, confide, encourage
117	2 bheidh-	bhidh-	to bind, plait
117-18	bhei(ə)-, bhī-	IE    bheid-	to hit
118	bheigu̯-	IE   	to shine, glitter?
118-20	1 bhel-, Balto-Slavic also bhelə-	IE    2. bhel-	glittering white
120	2 bhel-	bheleg-	henbane
120-22	3 bhel-, bhlē-	IE    2. bhlei-	to grow, spread, swell, inflate
122	4 bhel-, and bhlē-, bhlō-, bhlə-	IE   	leaf, foil, blade; bloom
122-23	5 bhel-, chiefly with suffixes: bheləg̑-, bhelə-n-g̑-, bheleg̑-, bhl̥k̑-	IE   	balk, beam, rafter
123-24	6 bhel-	IE    bhlē-	to speak, bell, bellow, resound
124	bh(e)lāg-		weak, silly, ridiculous
124	bheld-	IE   	to hit, poke
124-25	bheleg-	IE    bhlendh-	to shine, glisten
125	bheleu-	IE    2. bhlēu-	to hit, weaken; ill, weak
125-26	bhelg̑h-	IE   	to swell, bulge, billow
126	bhen-	IE   	to hit, wound
126-27	bhend-		to sing, rejoice
